node_id,cluster_label,longitude,latitude
0,10661,-104.99251,39.74765
1,10661,-122.34391,37.579964
2,10661,-104.99251,39.74765
3,10661,-77.451706,38.94511
4,10661,-122.36884,37.824562
5,10661,0.0,0.0
6,10661,-87.749626,42.057777
7,10661,-122.38332,37.591125
8,2844,-105.00052,39.74832
9,10661,-122.34475,37.579002
10,10661,6.12731,49.613148
11,10661,-122.34368,37.580303
12,10661,0.0,0.0
13,2844,-104.99252,39.753376
14,10661,-104.9847,39.739155
15,10661,-105.28206,40.025406
16,10661,-122.68637,37.90937
17,2844,-105.28025,40.013428
18,2844,-74.008736,40.72337
19,2844,-76.329994,40.075474
20,10661,-105.81253,39.936497
21,10661,-105.08665,39.92054
22,2844,-117.25048,32.76423
23,10661,-97.74026,30.267445
24,10661,-105.08828,40.17309
25,10661,-107.81623,38.1392
26,10661,-122.27698,37.56215
27,2844,-105.25181,40.026157
28,2844,6.095556,49.603333
29,10661,-104.9847,39.739155
30,10661,-105.6975,39.706097
31,2844,-73.991974,40.72915
32,2844,-118.49814,34.029633
33,2844,-104.915474,38.85747
34,2844,-105.06551,39.794327
35,10661,-104.90243,39.758064
36,10661,-78.018906,34.745163
37,2844,-121.88571,37.32963
38,10661,24.70936,60.16271
39,2844,-122.39249,37.78278
40,10661,-122.34368,37.580303
41,10661,-104.95975,39.745983
42,10661,-122.34368,37.580303
43,10661,-104.67518,39.84716
44,2844,-97.82584,30.285938
45,10661,-116.357,33.70969
46,10661,-122.34693,37.578644
47,10661,-73.98001,40.763054
48,2844,6.13,49.611668
49,2844,-105.27512,40.018696
50,10661,-105.13212,39.978184
51,10661,-104.99907,39.75047
52,2844,-104.95986,39.732235
53,2844,6.385481,49.600132
54,10661,-117.42662,47.6743
55,2844,-105.08033,39.838474
56,10661,-122.353195,47.615242
57,2844,-106.92679,37.853424
58,10661,-105.29687,40.014
59,2844,7.75,49.45
60,2844,6.172921,49.63357
61,10661,-93.2779,44.954918
62,10661,-105.25585,40.035564
63,2844,-93.24215,44.854515
64,2844,-104.709335,39.83805
65,10661,-105.135284,39.93053
66,2844,-104.994354,39.75633
67,10661,-104.957504,39.718018
68,2844,-105.27721,40.018055
69,10661,-122.4278,37.759453
70,2844,-122.00585,37.33169
71,10661,-105.00739,39.748947
72,2844,-104.989265,39.745132
73,7,,
74,10661,-122.36608,37.584103
75,2844,-105.27747,40.018776
76,10661,-104.985466,39.75941
77,2844,4.354558,50.8471
78,2844,-86.793564,36.115227
79,2844,6.095556,49.603333
80,2844,-105.25614,40.016884
81,2844,-104.95906,39.70422
82,2844,-104.675224,39.84719
83,2844,-71.46633,41.641624
84,2844,-104.83192,39.72943
85,2844,-105.00083,39.754562
86,2844,-104.98012,39.743275
87,2844,-77.447716,38.95338
88,2844,-86.98063,20.470104
89,2844,145.07484,-37.78609
90,2844,-122.406685,37.76736
91,2844,-122.36608,37.584103
92,10661,-83.28131,40.82728
93,10661,24.940983,60.16814
94,2844,-104.99903,39.712494
95,10661,4.9221,52.37674
96,2844,-104.90289,39.60239
97,10661,24.947582,60.1672
98,2844,-104.953186,39.718018
99,2844,-122.41942,37.77493
100,2844,6.100258,49.752876
101,2844,-105.27609,40.00888
102,10661,-155.96344,19.559608
103,10661,-122.5922,48.847042
104,2844,-105.106346,40.134277
105,2844,-105.08749,39.802765
106,10661,-104.985466,39.75941
107,2844,-105.270546,40.014984
108,10661,-73.97957,40.76192
109,2844,-104.67318,39.861656
110,2844,-122.200676,47.61038
111,2844,-104.98681,39.736996
112,2844,-105.24674,39.988792
113,2844,-97.33755,37.692238
114,2844,6.106111,49.74889
115,2844,-104.99373,39.74359
116,2844,-122.39208,37.61471
117,2844,-76.94977,38.987717
118,2844,-105.06415,39.75304
119,2844,-104.9847,39.739155
120,2844,-112.074036,33.448376
121,2844,-104.99848,39.75379
122,2844,10.211667,59.7425
123,10661,-122.25507,37.502815
124,10661,-122.421684,37.778015
125,10661,-122.3902,37.779613
126,2844,-121.98961,38.311005
127,2844,-121.94772,37.320038
128,2844,-122.27772,37.547024
129,10661,-122.84777,38.590187
130,10661,-87.650055,41.850033
131,10661,-122.41942,37.77493
132,10661,-74.032364,40.74399
133,10661,-115.17223,36.116196
134,10661,-77.066925,39.153164
135,10661,-122.14302,37.441883
136,10661,-122.36608,37.584103
137,10661,-73.9733,40.764305
138,10661,-118.35236,34.19647
139,10661,-121.95524,37.354107
140,10661,-71.05978,42.358433
141,2844,,
142,10661,-122.3463,37.580235
143,10661,-104.9874,39.73845
144,10661,-90.05979,29.960094
145,10661,-76.848305,39.099274
146,10661,-94.67079,38.982227
147,10661,-93.82405,35.14764
148,10661,-88.26973,42.35568
149,10661,-122.2234,37.48967
150,10661,-111.8538,40.489876
151,10661,-0.100272,51.556347
152,10661,-104.98866,39.75196
153,10661,-71.04109,42.349125
154,10661,-1.857819,50.731644
155,10661,-123.961525,45.891773
156,10661,-95.283394,38.962914
157,10661,-84.387985,33.748997
158,10661,0.0,0.0
159,10661,-85.67349,42.960205
160,10661,55.376007,25.303907
161,10661,-111.937386,33.42358
162,10661,-104.85774,39.581512
163,10661,-121.9105,37.246876
164,10661,0.0,0.0
165,10661,0.0,0.0
166,2844,-77.0414,38.813362
167,10661,-104.9847,39.739155
168,10661,-105.09555,39.6161
169,10661,-105.11246,40.170704
170,10661,-97.07831,32.861946
171,2844,-104.9882,39.740772
172,2844,-105.070816,39.891384
173,10661,-76.98994,40.21503
174,10661,135.49873,34.73336
175,10661,-104.95148,39.74519
176,10661,-76.52027,42.419373
177,2844,-121.31713,38.715553
178,10661,-85.378845,38.407566
179,10661,-123.91125,46.024273
180,10661,-87.33082,41.47096
181,10661,31.25,30.05
182,10661,-79.591934,43.678905
183,10661,-104.993774,39.75334
184,10661,-104.87276,39.09166
185,10661,-105.08442,40.58526
186,10661,-118.84415,34.174976
187,2844,-104.98438,39.73686
188,10661,-121.89496,37.339386
189,10661,-104.98728,39.717915
190,10661,-87.993256,42.228424
191,10661,137.02168,35.183952
192,2844,-94.59129,39.052956
193,2844,-105.12456,39.92159
194,10661,-104.89701,39.63774
195,10661,-118.46976,33.99458
196,7,174.773,-36.844826
197,7,,
198,2844,-97.33755,37.692238
199,10661,-104.98153,39.772087
200,2844,-81.53323,30.254663
201,10661,-104.821365,38.83388
202,2844,-73.10594,40.941486
203,203,,
204,2844,-46.636112,-23.5475
205,2844,-88.4487,42.314743
206,2844,-122.42155,37.78759
207,10661,0.0,0.0
208,10661,-84.32567,33.788227
209,10661,-98.485275,29.427382
210,10661,-122.4075,37.78793
211,10661,-122.16323,37.44436
212,10661,-101.87524,33.548756
213,10661,-94.71082,39.200512
214,10661,0.0,0.0
215,10661,-118.3933,34.03221
216,10661,-122.9507,43.93321
217,10661,-79.06627,43.100117
