node_id,cluster_label,longitude,latitude
0,1,-104.99251,39.74765
1,1,-122.34391,37.579964
2,1,-104.99251,39.74765
3,1,-77.451706,38.94511
4,1,-122.36884,37.824562
5,1,0.0,0.0
6,1,-87.749626,42.057777
7,1,-122.38332,37.591125
8,1,-105.00052,39.74832
9,1,-122.34475,37.579002
10,1,6.12731,49.613148
11,1,-122.34368,37.580303
12,1,0.0,0.0
13,1,-104.99252,39.753376
14,1,-104.9847,39.739155
15,1,-105.28206,40.025406
16,1,-122.68637,37.90937
17,1,-105.28025,40.013428
18,1,-74.008736,40.72337
19,1,-76.329994,40.075474
20,1,-105.81253,39.936497
21,1,-105.08665,39.92054
22,1,-117.25048,32.76423
23,1,-97.74026,30.267445
24,1,-105.08828,40.17309
25,1,-107.81623,38.1392
26,1,-122.27698,37.56215
27,1,-105.25181,40.026157
28,1,6.095556,49.603333
29,1,-104.9847,39.739155
30,1,-105.6975,39.706097
31,1,-73.991974,40.72915
32,1,-118.49814,34.029633
33,1,-104.915474,38.85747
34,1,-105.06551,39.794327
35,1,-104.90243,39.758064
36,1,-78.018906,34.745163
37,1,-121.88571,37.32963
38,1,24.70936,60.16271
39,1,-122.39249,37.78278
40,1,-122.34368,37.580303
41,1,-104.95975,39.745983
42,1,-122.34368,37.580303
43,1,-104.67518,39.84716
44,1,-97.82584,30.285938
45,1,-116.357,33.70969
46,1,-122.34693,37.578644
47,1,-73.98001,40.763054
48,1,6.13,49.611668
49,1,-105.27512,40.018696
50,1,-105.13212,39.978184
51,1,-104.99907,39.75047
52,1,-104.95986,39.732235
53,1,6.385481,49.600132
54,1,-117.42662,47.6743
55,1,-105.08033,39.838474
56,1,-122.353195,47.615242
57,1,-106.92679,37.853424
58,1,-105.29687,40.014
59,1,7.75,49.45
60,1,6.172921,49.63357
61,1,-93.2779,44.954918
62,1,-105.25585,40.035564
63,1,-93.24215,44.854515
64,1,-104.709335,39.83805
65,1,-105.135284,39.93053
66,1,-104.994354,39.75633
67,1,-104.957504,39.718018
68,1,-105.27721,40.018055
69,1,-122.4278,37.759453
70,1,-122.00585,37.33169
71,1,-105.00739,39.748947
72,1,-104.989265,39.745132
73,0,,
74,1,-122.36608,37.584103
75,1,-105.27747,40.018776
76,1,-104.985466,39.75941
77,1,4.354558,50.8471
78,1,-86.793564,36.115227
79,1,6.095556,49.603333
80,1,-105.25614,40.016884
81,1,-104.95906,39.70422
82,1,-104.675224,39.84719
83,1,-71.46633,41.641624
84,1,-104.83192,39.72943
85,1,-105.00083,39.754562
86,1,-104.98012,39.743275
87,1,-77.447716,38.95338
88,1,-86.98063,20.470104
