node_id,cluster_label,longitude,latitude
0,82,-104.99251,39.74765
1,152,-122.34391,37.579964
2,82,-104.99251,39.74765
3,1733,-77.451706,38.94511
4,152,-122.36884,37.824562
5,152,-122.43055,37.79769
6,6904,-87.749626,42.057777
7,152,-122.38332,37.591125
8,82,-105.00052,39.74832
9,152,-122.34475,37.579002
10,759,6.12731,49.613148
11,152,-122.34368,37.580303
12,82,-105.13143,40.407734
13,82,-104.99252,39.753376
14,82,-104.9847,39.739155
15,82,-105.28206,40.025406
16,1931,-122.68637,37.90937
17,82,-105.28025,40.013428
18,82,-74.008736,40.72337
19,1193,-76.329994,40.075474
20,82,-105.81253,39.936497
21,82,-105.08665,39.92054
22,82,-117.25048,32.76423
23,1306,-97.74026,30.267445
24,82,-105.08828,40.17309
25,1296,-107.81623,38.1392
26,152,-122.27698,37.56215
27,82,-105.25181,40.026157
28,759,6.095556,49.603333
29,82,-104.9847,39.739155
30,82,-105.6975,39.706097
31,1718,-73.991974,40.72915
32,82,-118.49814,34.029633
33,759,-104.915474,38.85747
34,82,-105.06551,39.794327
35,82,-104.90243,39.758064
36,2315,-78.018906,34.745163
37,82,-121.88571,37.32963
38,152,24.70936,60.16271
39,82,-122.39249,37.78278
40,1931,-122.34368,37.580303
41,82,-104.95975,39.745983
42,152,-122.34368,37.580303
43,82,-104.67518,39.84716
44,8371,-97.82584,30.285938
45,82,-116.357,33.70969
46,152,-122.34693,37.578644
47,82,-73.98001,40.763054
48,4375,6.13,49.611668
49,82,-105.27512,40.018696
50,82,-105.13212,39.978184
51,82,-104.99907,39.75047
52,82,-104.95986,39.732235
53,759,6.385481,49.600132
54,152,-117.42662,47.6743
55,82,-105.08033,39.838474
56,152,-122.353195,47.615242
57,4654,-106.92679,37.853424
58,82,-105.29687,40.014
59,2219,7.75,49.45
60,759,6.172921,49.63357
61,82,-93.2779,44.954918
62,82,-105.25585,40.035564
63,82,-93.24215,44.854515
64,82,-104.709335,39.83805
65,82,-105.135284,39.93053
66,82,-104.994354,39.75633
67,82,-104.957504,39.718018
68,82,-105.27721,40.018055
69,1931,-122.4278,37.759453
70,82,-122.00585,37.33169
71,82,-105.00739,39.748947
72,82,-104.989265,39.745132
73,152,-122.36608,37.584103
74,82,-105.27747,40.018776
75,82,-104.985466,39.75941
76,4375,4.354558,50.8471
77,2179,-86.793564,36.115227
78,759,6.095556,49.603333
79,82,-105.25614,40.016884
