source,target
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,37
0,38
0,39
0,40
0,41
0,42
0,43
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,83
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
1,0
1,3
1,4
1,5
1,7
1,9
1,23
1,26
1,29
1,30
1,35
1,38
1,40
1,42
1,46
1,56
1,73
1,90
1,92
1,96
1,122
1,123
1,124
1,125
1,126
1,127
1,128
1,129
1,130
1,131
1,132
1,133
1,134
1,135
1,136
1,137
1,138
1,139
1,140
2,0
2,10
2,12
2,13
2,20
2,29
2,30
2,32
2,33
2,34
2,40
2,45
2,47
2,50
2,55
2,63
2,78
2,83
2,112
2,113
2,141
2,142
2,143
2,144
2,145
2,146
2,147
2,148
2,149
2,150
2,151
2,152
2,153
2,154
2,155
2,156
2,157
2,158
2,159
2,160
2,161
2,162
2,163
2,164
2,165
2,166
2,167
2,168
2,169
2,170
2,171
2,172
2,173
2,174
2,175
2,176
2,177
2,178
2,179
2,180
2,181
2,182
2,183
2,184
2,185
2,186
2,187
2,188
2,189
2,190
2,191
2,192
2,193
2,194
2,195
2,196
2,197
2,198
2,199
2,200
2,201
3,0
3,1
3,4
3,6
3,7
3,9
3,11
3,20
3,26
3,27
3,30
3,36
3,38
3,42
3,46
3,49
3,54
3,111
3,115
3,122
3,123
3,141
3,142
3,144
3,146
3,152
3,157
3,189
3,203
3,204
3,205
3,206
3,207
3,208
3,209
3,210
3,211
3,212
3,213
3,214
3,215
3,216
3,217
3,218
3,219
3,220
3,221
3,222
3,223
3,224
3,225
3,226
3,227
3,228
3,230
3,231
3,232
3,233
3,234
3,235
3,236
3,237
3,238
3,239
3,240
3,241
3,242
3,243
3,244
3,245
3,246
3,247
3,248
3,249
3,250
3,251
3,254
3,255
3,256
3,257
3,259
3,260
3,261
3,262
3,263
3,264
3,265
3,267
3,268
3,269
3,270
3,271
3,272
3,273
3,274
3,275
3,276
3,277
3,279
3,280
3,281
3,282
3,285
3,287
3,288
3,289
3,290
3,291
3,292
3,293
3,294
3,295
3,297
3,299
3,301
3,302
3,305
3,306
3,308
3,309
3,311
3,312
3,313
3,314
3,315
3,316
3,317
3,318
3,319
3,320
3,321
3,322
3,324
3,325
3,326
3,327
3,328
3,329
3,330
3,331
3,333
3,334
3,338
3,339
3,340
3,341
3,342
3,344
3,349
3,350
3,351
3,352
3,353
3,354
3,355
3,356
3,357
3,359
3,361
3,362
3,363
3,364
3,366
3,367
3,368
3,369
3,371
3,372
3,373
3,375
3,376
3,377
3,378
3,382
3,383
3,384
3,385
3,386
3,387
3,389
3,391
3,393
3,394
3,395
3,397
3,399
3,404
3,410
3,412
3,413
3,419
3,421
3,424
3,426
3,428
3,429
3,432
3,433
3,434
3,435
3,437
3,439
3,441
3,442
3,446
3,447
3,449
3,451
3,452
3,455
3,456
3,457
3,458
3,461
3,463
3,464
3,465
3,466
3,467
3,468
3,469
3,471
3,474
3,476
3,478
3,479
3,481
3,482
3,483
4,0
4,1
4,3
4,5
4,7
4,9
4,11
4,23
4,26
4,30
4,38
4,42
4,46
4,73
4,90
4,92
4,122
4,123
4,136
4,146
4,484
4,485
4,486
4,487
4,488
4,489
5,0
5,1
5,4
5,7
5,9
5,11
5,23
5,26
5,29
5,30
5,38
5,40
5,42
5,56
5,73
5,90
5,92
5,96
5,122
5,123
5,124
5,126
5,128
5,129
5,131
5,133
5,134
5,135
5,136
5,137
5,138
5,139
5,266
5,490
5,491
5,492
5,493
5,494
5,495
5,496
5,497
5,498
5,499
5,500
5,501
5,502
5,503
6,0
6,3
6,40
6,44
6,47
6,115
6,331
6,426
6,483
6,504
6,505
6,506
6,507
6,508
6,509
6,510
6,511
6,512
6,513
6,514
6,515
6,516
6,517
6,518
6,519
6,520
6,521
6,522
6,523
6,524
6,525
6,526
6,528
6,530
6,531
6,532
6,533
6,534
6,535
6,536
6,537
6,538
6,539
6,540
6,541
6,543
6,545
6,546
6,547
6,548
6,549
6,550
6,551
6,552
6,553
6,555
6,556
6,557
6,558
6,559
6,560
6,561
6,562
6,563
6,564
6,565
6,566
6,567
7,0
7,1
7,3
7,4
7,5
7,9
7,11
7,16
7,23
7,26
7,29
7,30
7,35
7,36
7,38
7,40
7,42
7,54
7,56
7,58
7,73
7,90
7,92
7,96
7,122
7,123
7,124
7,128
7,129
7,130
7,131
7,132
7,133
7,134
7,135
7,136
7,137
7,138
7,139
7,140
7,142
7,144
7,146
7,147
7,152
7,153
7,157
7,161
7,168
7,179
7,203
7,205
7,208
7,210
7,211
7,214
7,221
7,224
7,225
7,230
7,236
7,241
7,245
7,259
7,260
7,266
7,269
7,271
7,274
7,285
7,292
7,347
7,386
7,389
7,485
7,491
7,492
7,493
7,495
7,568
7,570
7,572
7,573
7,574
7,575
7,576
7,578
7,579
7,580
7,581
7,584
7,585
7,586
7,587
7,589
7,590
7,591
7,592
7,593
7,594
7,595
7,597
7,599
7,600
7,601
7,602
7,603
7,604
7,606
7,608
7,609
7,610
7,611
7,612
7,615
7,617
7,618
7,619
7,620
7,622
7,623
7,624
7,625
7,626
7,627
7,628
7,629
7,630
7,631
7,633
7,634
7,635
7,636
7,637
7,638
7,639
7,641
7,642
7,644
7,646
7,647
7,648
7,649
7,651
7,653
7,654
7,655
7,657
7,658
7,659
7,660
7,661
7,662
7,663
7,664
7,665
7,667
7,668
7,669
7,672
7,673
7,675
7,676
7,677
7,678
7,679
7,682
7,683
7,684
7,685
7,686
7,687
7,688
7,689
7,692
7,693
7,694
7,695
7,696
7,697
7,698
7,699
7,700
7,701
7,702
7,703
7,705
7,706
7,707
7,709
7,710
7,711
7,712
7,713
7,714
7,715
7,717
7,718
7,719
7,721
7,722
7,723
7,724
7,725
7,726
7,727
7,728
7,729
7,730
7,732
7,734
7,736
7,738
7,739
7,740
7,741
7,744
8,0
8,32
8,61
9,0
9,1
9,3
9,4
9,5
9,7
9,11
9,23
9,26
9,30
9,38
9,40
9,42
9,46
9,54
9,122
9,141
9,146
9,152
9,203
9,347
9,747
9,749
10,0
10,2
10,28
10,30
10,33
10,53
10,76
10,78
10,99
10,113
10,174
10,189
10,203
10,600
10,624
10,627
10,644
10,757
10,758
10,759
10,760
10,761
10,762
