source,target
27262,3530
9689,8346
12731,13260
7137,12893
17960,2360
10218,24151
17469,4752
23314,2486
1220,761
34630,8101
8618,1791
36982,29507
2914,2784
809,15944
11264,289
12351,10760
30399,34318
16,1032
5321,28815
17639,12518
9676,9989
2953,25343
19958,1761
26156,26186
38481,11814
8553,3244
3715,968
4431,13189
48762,39548
6668,148
1905,3873
2684,10027
6273,3002
14948,14627
8159,2566
2724,23389
21428,29316
4488,10690
8538,15394
10149,5863
12800,541
27798,5738
243,9682
8539,11832
2,171
623,2733
5385,18785
16841,995
34831,8333
11231,12957
10021,10000
3370,26920
37355,10783
8564,23381
9919,9723
172,7937
39401,30227
890,9651
30465,5463
12406,32293
10755,13378
2102,16064
18560,1735
32634,6813
18943,1473
2268,18019
8387,7654
1925,21063
25424,25432
40,1752
33075,36734
1404,8559
9690,10021
14775,25006
230,7511
17452,18653
33074,33099
224,7696
16561,954
7819,34150
6138,5944
35,1758
10745,12259
23282,30789
9685,10027
24380,7087
8558,2409
22,18
6005,16153
4517,5338
990,2661
13717,8483
954,752
11951,8277
246,5361
329,700
7491,11811
35405,8739
7969,34444
34172,21828
210,6835
4630,6154
8645,20471
28401,15183
42782,44355
989,157
24721,2842
2161,22255
21899,16361
24694,37613
350,5310
2022,16434
6175,17853
20706,37170
1740,506
1151,111
6143,19069
9604,36210
14903,2694
5294,29889
904,3617
12368,38901
26361,9116
1965,35
2275,22892
280,3
37227,10708
376,465
9951,2733
111,4920
9950,9678
7987,1788
4382,8280
13160,16620
573,255
6500,243
13587,5353
41491,49114
42450,18460
8457,10570
6931,2681
40,3175
13708,1149
15079,4209
14620,16692
44,4048
2351,5332
3254,10990
31978,32633
1979,2720
9945,9684
12058,7719
22637,25119
8674,27951
203,1826
23332,13832
2123,5882
23144,42828
1809,1750
12146,369
2219,22559
37941,37943
40500,14565
44598,24221
1804,625
13469,4142
8562,33752
1077,296
2769,12796
2334,36
2415,5882
4949,5637
19782,2661
20157,1784
37095,20337
20628,43248
19500,26360
9072,8375
2566,8680
34159,8679
40256,25882
4938,15277
20755,13195
1052,15111
7708,33998
6026,9354
6179,3934
12830,28893
5457,23197
4991,4708
12866,5138
14759,40582
24125,16635
15973,4785
33648,16461
4679,649
11399,17831
12266,23832
12488,2711
21664,2052
38379,11700
4478,19614
7596,172
18886,4566
9806,7939
