source,target
3568,383
4812,2924
11775,5524
2926,916
732,5925
3380,1086
9887,3635
4025,4042
11093,9102
11244,18131
2294,3857
15251,9175
8147,2206
282,212
9810,9804
92,88
818,4164
2406,99
4768,5254
157,2203
1530,428
5270,6404
2686,116
16930,7857
5091,1743
6670,12868
722,7839
18409,12170
13306,2995
2729,4135
7,165
13631,18778
4882,15340
4915,4900
168,5186
1219,5612
1799,8173
4657,4110
10663,17977
5658,2729
1052,22
12418,3472
3877,7153
12029,2199
15520,9191
15522,5100
16815,9223
5570,7985
2638,2677
4298,14730
4685,15176
1110,1131
11467,15678
5265,933
958,7153
11708,12357
6665,3233
1216,3247
2866,60
13,1269
1090,664
2110,1245
800,7506
3057,13399
15140,19119
6419,733
16021,14438
2274,3339
4813,12328
2831,224
4155,12328
4305,9643
19844,19136
4282,3243
15,2
3814,923
14842,10013
5061,2981
4297,1831
195,1101
3030,60
1913,300
18146,11894
2186,11978
4216,14674
2365,609
3318,4664
6649,3265
733,403
14583,6527
7661,7146
1887,18
5130,2936
11133,3508
825,3375
6105,10722
269,6126
2301,2287
3312,3314
5299,5374
1909,7132
402,239
233,2682
9772,2075
243,5844
11762,5372
98,13
2264,126
9784,4529
1100,5650
3378,6004
9,695
537,7230
231,542
19089,15015
5545,303
5278,6375
567,2154
204,2102
752,7569
7476,16791
10749,1424
1079,4022
753,65
1780,3315
1105,3900
13058,4474
3925,107
3906,4029
303,768
7147,6120
4019,3906
1225,60
4005,4008
10478,1311
567,60
1480,4716
3169,13535
9802,9807
246,1173
1359,10613
390,363
2255,548
1453,3078
12841,6287
86,137
783,65
979,943
158,13
4258,108
6518,9682
13972,3474
6549,6551
2168,2242
4131,7880
253,250
11638,3750
5128,15425
6686,406
14729,9280
10520,16597
288,244
725,245
8608,8672
356,2068
12876,14767
1694,3490
2527,81
2620,272
56,86
9751,5654
5258,15656
6871,536
3883,14352
1316,10485
8649,8646
16020,17679
15288,15286
853,3813
1109,7940
1532,8797
2539,2535
2260,868
720,251
701,9
753,199
10117,10326
4042,4024
9873,5270
7101,8353
5375,376
10327,1276
10394,8914
16677,16673
1543,1227
18383,12075
1107,4080
3261,426
542,137
8859,912
9380,4556
1310,7822
2432,2264
732,3644
940,2627
2855,2367
11425,1898
11483,5286
2032,2330
884,251
1911,4255
2353,4600
39,2145
3979,827
15715,5308
11976,2186
534,2124
6437,6444
6525,2127
7187,526
8522,8847
19659,18661
8298,2723
5165,165
7637,3206
1663,5092
2764,909
4010,1079
4774,2229
11523,6755
5138,5135
730,723
2627,12689
9054,3231
124,913
5252,14282
144,4763
340,6395
13,1082
1933,1920
17764,10124
14644,11935
262,2540
816,3126
919,595
2084,2089
8130,7461
1278,10327
1459,6201
2557,57
10387,11102
5841,2784
8529,8863
1292,10410
10435,9803
13444,18741
2178,6827
3642,252
4602,2280
5359,2451
2363,12242
18732,14837
7170,3339
272,1134
17796,10197
2359,1920
2400,1921
4487,2707
5127,2101
22,1925
4664,125
696,149
2537,3912
2091,2105
12263,2377
1844,11273
17,800
96,1093
3033,5247
18125,18185
6217,6804
4534,1183
943,965
1794,17
10343,15475
784,154
4450,10345
7409,4644
7,462
497,2541
5332,2102
8152,753
922,1027
9026,5481
9303,6513
1126,6684
3234,4375
5453,9976
1301,7439
6826,1785
11129,4491
6440,6445
14121,3626
12601,16493
497,3480
798,2654
9404,1088
2150,3974
1527,4749
959,5231
262,6057
2196,1875
3632,10248
1086,88
1824,17
2104,2286
846,8737
2174,11915
4000,94
2901,13183
7287,7256
2810,233
5270,8929
5724,239
4452,2820
3492,1758
780,920
1081,94
1912,22
2634,3390
8212,780
2384,2461
15199,4720
1854,17
2532,3113
436,4493
6462,353
1781,11058
1019,155
4376,731
12,1
826,514
5375,1933
1849,7028
6107,1293
80,135
9642,14973
3388,13836
17216,16229
272,2557
165,1936
6372,10609
115,129
