source,target
44724,4333
25963,33335
2461,9447
53753,10040
16176,3103
3799,17285
4825,4849
5081,8976
1220,761
2082,2
64541,93979
23057,5304
78873,63660
3738,13
56707,60369
12899,60550
9710,45817
5498,404
19796,34237
580,9476
0,499
38244,25457
22920,1808
43590,90956
7229,48295
23355,1736
309,1254
8148,2027
57438,28013
27190,27197
42836,3568
75500,24085
19742,416
61139,38198
28838,929
14219,63271
3658,10233
65810,51099
473,9205
8909,812
34717,14462
26498,7806
50869,27188
3088,1974
34442,76293
34651,16094
69660,280
5818,5081
5427,5425
27480,733
35456,8385
1557,5792
6349,5471
26495,77680
40276,14993
55694,96398
50552,61631
711,8215
1463,3878
6160,1785
2053,711
9405,1366
22593,8337
26824,8915
34545,34542
80849,29882
83668,50000
15225,36196
25639,14124
1789,1604
6900,15558
13683,1009
4849,7821
875,28968
15647,5337
16826,313
25004,552
26855,36494
5254,9038
31874,63691
52900,49333
3571,4171
856,618
10144,27719
70087,70088
15827,26623
24183,40158
199,12362
19693,44981
11248,7245
28051,8412
36260,1548
76,4792
2102,22830
630,1968
280,92487
28367,11092
1820,6902
10003,11649
27426,35155
1242,280
36607,28424
35361,36390
7732,28489
7778,2069
87276,68665
25892,583
82040,30853
44351,22921
39188,37824
560,22325
4260,7025
51460,53619
400,18660
7713,139
2737,3571
36880,1606
77855,99294
6255,4250
42824,40444
27416,1606
69245,45461
35167,280
13315,56963
4688,6159
4973,15942
22098,46399
62189,38883
65987,65997
33564,280
15117,7750
8398,7762
71736,39857
9040,4785
797,28280
7429,1484
17348,7726
9758,17079
22618,34542
38998,71261
82732,96206
7583,5334
5432,10225
5928,1761
35250,31432
28097,27954
324,16921
28736,7710
22925,20140
54422,61556
25843,10466
5267,3183
4797,36
2868,4562
5165,5158
23100,5619
19803,5848
28202,28155
2495,21727
32459,19374
6258,16575
36631,25761
86386,95618
6499,422
23471,23467
1781,26521
7777,36502
17052,3769
50013,49944
93842,100036
77921,101738
49609,19501
3594,128
33012,1214
8832,9693
9017,32104
6797,237
81100,35438
327,199
199,13785
9300,21058
8207,36436
3951,43907
26993,5020
56158,11322
13775,54049
76,6215
51102,60057
25809,1032
34632,31746
15108,416
30378,10273
36612,36607
16822,27227
1214,409
16623,6638
18581,7768
96314,96260
19374,38895
61608,57172
17269,17366
27799,51843
51491,50191
13422,36376
8633,51712
6322,479
27538,15292
8065,32946
88957,39769
14684,30074
26012,25870
6815,32842
7303,351
2083,31716
91388,59024
58821,58819
78084,26803
31949,13744
33410,1236
57144,57150
28251,797
1206,15578
52356,280
6273,5848
3154,3188
7988,7974
32512,32516
27441,34176
27657,51736
3898,3871
21450,10229
3904,36116
20987,9007
21326,8473
26745,26744
321,4460
33066,33075
34375,33005
572,1827
41589,4679
4488,4087
68163,17108
51525,84460
83551,99802
7822,2205
16916,67936
72184,32371
531,24457
1813,16148
38529,1845
85451,71880
12219,46617
4087,19958
280,1426
12091,57951
