node_id,cluster_label,longitude,latitude
0,1508,-79.96413,40.46707
1,2,-80.03008,40.405075
2,2,-80.030235,40.40527
3,2,-115.13902,36.088516
4,2,-79.91414,40.41097
5,2,-80.016235,40.452145
6,55,-80.01567,40.446617
7,2,-80.0353,40.396107
8,2,-80.00022,40.44389
9,2,-79.93392,40.450867
10,10,-111.84253,33.303234
11,2,-80.01507,40.432384
12,12,-80.00207,40.442333
13,2,-80.00206,40.44228
14,2,-79.95194,40.482704
15,2,-80.00646,40.410748
16,16,-79.95116,40.482693
17,55,-79.99644,40.44395
18,18,-79.964424,40.462208
19,55,-79.98752,40.449078
20,2,-79.96442,40.46705
21,2,-79.96811,40.427372
22,2,-79.95074,40.449978
23,2,-79.93078,40.456436
24,2,-79.99644,40.44395
25,2,-79.92399,40.461506
26,55,-79.91887,40.474888
27,2,-80.00276,40.441036
28,28,-79.9645,40.42877
29,2,-80.01768,40.437695
30,2,-80.002556,40.442036
31,2,-80.083626,40.409744
32,32,-80.085175,40.408142
33,55,-79.98428,40.428955
34,2,-80.022095,40.446785
35,55,-79.922386,40.438145
36,2,-80.01325,40.45561
37,2,-79.998695,40.443043
38,1508,-112.12811,33.511147
39,2,-79.965256,40.42789
40,2,-79.99644,40.44395
41,2,-79.94251,40.465073
42,2,-80.01676,40.4521
43,2,-79.96167,40.469063
44,2,-79.95207,40.482334
45,2,-79.9645,40.42877
46,2,-79.98313,40.45194
47,55,-80.001686,40.432
48,55,-79.93144,40.45926
49,49,-115.17086,36.10993
50,2,-79.932846,40.451576
51,2,-79.930214,40.4565
52,2,-79.91717,40.402855
53,55,-115.17028,36.12229
54,54,-79.92267,40.437866
55,55,-80.00288,40.44139
56,2,-79.91776,40.407154
57,2,-79.97939,40.428425
58,2,-79.93412,40.450737
59,2,-79.964424,40.462208
60,2,-79.92316,40.433384
61,2,-79.98941,40.448463
62,2,-80.00222,40.440998
63,2,-79.942276,40.458267
64,2,-79.93257,40.46445
65,2,-79.91957,40.475876
66,2,-80.026,40.397964
67,2,-80.01768,40.437695
68,2,-80.036804,40.39289
69,2,-79.91526,40.409435
70,2,-79.916985,40.40682
71,55,-79.93144,40.45926
72,2,-79.90444,40.490192
73,2,-79.950676,40.462757
74,2,-79.8921,40.438145
75,2,-79.972694,40.428196
76,2,-79.87027,40.4041
77,2,-79.982285,40.4275
78,1508,-112.02849,33.510426
79,55,-80.04418,40.381416
80,80,-80.00034,40.4436
81,2,-79.91558,40.481033
82,55,-115.17524,36.116566
83,2,-79.95811,40.440765
84,55,-79.89309,40.489143
85,2,-79.98332,40.451687
86,55,-79.914185,40.409294
87,55,-79.954216,40.454754
88,1508,-112.01317,33.59627
89,2,-79.99717,40.44379
90,2,-79.998695,40.443043
91,2,-79.96025,40.470783
92,2,-79.9718,40.42813
93,2,-79.99297,40.4393
94,2,-79.982544,40.42897
95,2,-79.914185,40.409294
96,2,-79.94908,40.445145
97,2,-79.914185,40.409294
98,2,-80.001625,40.430992
99,2,-79.98941,40.448463
100,2,-79.96906,40.42741
101,55,-79.9828,40.429
102,2,-79.95151,40.482456
103,2,-79.983246,40.451347
104,2,-79.98436,40.451965
105,2,-111.934975,33.422768
106,106,-79.9166,40.407173
107,107,-79.9521,40.46299
108,108,-80.01085,40.445976
109,604,-80.84722,35.08597
110,2,-79.94642,40.454704
111,2,-79.96444,40.46709
112,2,-79.98436,40.451965
113,113,-79.98155,40.452496
114,55,-79.98436,40.451965
115,2,-79.925606,40.45962
116,2,-79.9645,40.42877
117,2,-115.1068,36.071945
118,2,-79.95799,40.47511
119,2,-79.98048,40.453846
120,2,-79.99621,40.441677
121,2,-80.002556,40.442036
122,2,-79.863625,40.387585
123,55,-79.983574,40.428703
124,124,-79.987976,40.438454
125,2,-79.96413,40.46707
126,2,-79.92512,40.460213
127,2,-79.91526,40.409435
128,2,-79.98752,40.449078
129,2,-79.919624,40.475475
130,2,-79.985664,40.450237
131,2,-79.93418,40.45137
132,2,-79.984215,40.451656
133,2,-79.98423,40.45088
134,2,-80.000854,40.440094
135,2,-79.987144,40.42891
136,55,-79.9573,40.440845
137,2,-80.002556,40.442036
138,55,-115.17028,36.12229
139,55,-3.194447,55.94859
140,2,-79.9909,40.3783
141,55,-79.916985,40.40776
142,2,-80.00225,40.443245
143,2,-80.05255,40.380295
144,2,-80.087326,40.408043
145,2,-79.941574,40.443504
146,2,-80.00206,40.44228
147,2,-79.98436,40.451965
148,55,-79.93151,40.455765
149,55,-79.98096,40.42488
150,55,-115.14637,36.124424
151,151,-115.2249,36.047733
152,2,-79.98177,40.42936
153,2,-79.94851,40.44518
154,2,-79.92414,40.41547
155,2,-79.99621,40.441677
156,2,-79.932846,40.451576
157,55,-115.172295,36.127068
158,2,-80.85719,35.217
159,2,-79.9718,40.42813
160,2,-79.91776,40.407154
161,55,-79.96107,40.46497
162,2,-79.92406,40.46296
163,2,-79.93273,40.451626
164,2,-79.92274,40.43773
165,2,-115.16961,36.121452
166,2,-79.958595,40.441628
167,2,-79.99561,40.44443
168,2,-79.99704,40.444035
169,2,-79.93318,40.451622
170,2,-79.93277,40.451347
171,171,-80.00645,40.441727
172,2,-80.00206,40.44228
173,2,-79.95882,40.472134
174,2,-79.923256,40.433247
175,55,-80.944046,35.220543
176,2,-80.05209,40.357212
177,177,-80.00471,40.44087
178,2,-79.99343,40.42161
179,2,-79.96616,40.46457
180,55,-80.01567,40.446617
181,181,-79.98017,40.428875
182,2,-79.98752,40.449078
183,2,-79.95315,40.442776
184,55,-79.91414,40.41097
185,2,-79.91414,40.41097
186,186,-79.95889,40.47313
187,55,-112.074005,33.511208
188,188,-79.923256,40.433247
189,2,-79.96025,40.470783
190,190,-79.92851,40.422665
191,55,-79.957695,40.441357
192,2,-79.97418,40.48139
193,193,-79.929634,40.457104
