source,target
25282,29968
18309,19510
10315,17668
4820,17337
1470,1690
16557,18256
24180,28264
16525,25888
26237,28619
4913,10331
6057,8504
10635,15579
18771,20480
4066,12152
10537,19208
1237,18111
5691,23430
6368,6676
2412,11433
4784,18030
14997,19057
4596,5147
1861,30743
12506,27263
18752,18925
4036,10408
4256,8462
4784,14997
24319,27268
7332,12960
15520,18051
2320,2395
1888,2738
18351,28380
18095,20089
3555,7102
30510,30520
14958,15315
15132,17188
10503,25609
5084,5086
201,381
19935,26825
15133,20042
25807,28634
19210,28821
14916,15843
1843,19210
1551,2594
20183,29556
3618,14217
1301,1665
6140,17375
3895,6389
1454,2661
1340,1593
1345,1937
2,22802
24972,28183
4826,26900
5747,9752
5008,25628
16739,16933
4100,6794
55,182
5909,14217
4357,11523
6311,27995
21352,26446
8560,13059
266,402
2450,26196
1458,2753
4971,7252
17570,26660
18420,18694
16733,22753
14687,19524
20,346
20093,26256
4302,10311
3968,4773
15338,24180
1825,10279
18590,26460
4179,11409
1066,24779
3967,7554
1726,27269
3874,5111
14391,28049
3614,9910
3552,9032
21498,25867
26154,27937
1784,24241
14888,16023
3983,5054
5763,19653
24128,26114
3875,24180
4024,5055
16015,27024
3805,5691
1004,1620
17658,26076
24155,27937
9966,12521
26369,26778
19113,28837
12506,15504
4759,30535
3205,27768
3272,22574
15844,27327
1492,1559
10393,27268
3355,5081
2671,27834
3785,4665
8619,15867
14835,21650
16361,16707
2851,20073
10537,11182
4066,4126
16789,18874
18232,25008
18258,19813
9855,10596
24013,24447
5035,20203
5488,7905
16146,22380
15358,27060
1508,4694
175,26247
4374,5410
5334,7438
5236,6903
3785,11431
3878,7458
15326,21860
13826,15192
3838,10311
3895,4429
13865,15120
15420,24905
21640,24014
79,22752
1367,1456
18310,20353
17752,27939
21828,27448
23967,24452
3551,14418
8943,11618
15107,17211
15537,16795
30667,30779
1332,1620
24433,29328
25470,26850
1433,2426
3893,15286
134,29979
18825,24367
26048,27086
11299,28255
1808,24180
958,25730
4017,22677
710,28634
30720,30790
24333,28343
12164,14935
18886,19358
5710,9014
14687,20947
7335,20292
3977,4030
491,1354
10294,19287
19411,24841
13000,25006
666,6081
4408,6468
15672,18309
5244,6740
19200,30256
15083,17914
4994,5811
4598,5811
17192,24875
604,27834
208,27834
6389,7767
1542,6883
18785,18902
3568,24921
30393,30553
24204,26593
14074,18653
10285,18420
4275,10261
2343,3936
4024,6478
2507,25470
2347,24057
14800,25146
19401,20339
15817,27708
15499,16287
23256,24575
15214,16303
30256,30440
6322,6895
868,2401
16500,17535
3954,7587
17173,20287
23313,28492
17952,20025
3703,3804
15120,16641
15588,18207
1282,1452
2799,2839
18670,19487
5093,21631
5035,5411
1237,24340
10578,14858
16023,27934
26442,28837
5503,10360
8400,19057
14809,18819
3482,28129
1785,8869
1786,18139
15120,16991
6048,7450
10327,30673
24047,28837
19131,27402
17326,27268
10406,28522
27534,27951
16507,17551
23408,24191
15383,20784
1228,3444
24350,25613
3846,19896
3618,4231
141,28436
14579,18515
15323,29778
5411,13403
4017,14301
3551,6392
14199,16015
4576,9569
4232,9759
21010,25391
21700,24340
5167,26252
25987,30485
14964,15323
15964,26549
25609,28058
14850,24054
18671,28706
1542,11339
17078,26011
2829,3142
2756,17421
13000,20013
1829,26830
20,159
5305,15986
10408,18745
16739,29928
18656,24641
1136,3454
13181,19270
7458,23219
2784,2850
10319,25843
4179,4806
2778,15867
28369,30226
4182,9241
16015,29870
17820,27752
25155,25794
323,1099
10311,24447
2661,30743
2004,22108
10469,25787
7197,15715
18903,27901
1718,19270
4496,26555
22636,30454
70,626
10315,18904
6886,10346
10469,22754
4179,11572
4030,30697
4666,5274
12793,18757
8989,17492
6446,7041
2343,28340
7906,14310
3513,6234
3785,4478
15219,18420
15126,18229
16058,29543
3980,4165
3883,4232
20522,21240
18197,19350
6963,28851
18193,21860
5084,6322
14987,15791
3895,4242
3551,4432
15552,27089
25719,27771
16225,17009
3956,5649
3765,9087
7948,23180
17712,28353
3304,24153
9837,21507
16492,24708
1212,7747
18618,27866
627,678
24655,27268
3862,28618
126,130
1332,1433
25204,28264
3895,4592
1464,1552
6063,9504
17712,25320
15964,21556
5536,9987
7587,13560
18610,26470
4572,10469
2480,6895
14687,17377
1235,17715
15087,24666
21537,24429
5433,12491
26356,28183
4166,13164
3905,4529
21784,24306
10289,25172
24019,24024
1009,2850
16015,21494
18420,23313
4347,4874
15990,29543
5060,10408
4024,9324
19907,28241
30146,30489
17421,18324
15894,26048
15390,28989
50,643
604,1983
10412,24424
14791,17326
4296,4535
17817,21707
16015,28260
17495,25628
2471,19210
10279,18418
14689,17049
15411,20417
30639,30772
22811,23772
16555,25006
2426,2471
5080,12164
3805,3894
4411,5424
14479,16650
4675,14330
18673,26768
14848,18210
18705,24771
3575,4371
23247,29937
12506,13707
26292,28706
4345,10439
641,710
15499,16450
3975,5244
5788,10157
17391,25628
18351,27656
15715,23430
15925,24960
8743,28658
19326,24300
10393,19055
18566,18950
3816,4433
17855,23288
6773,13935
4529,22799
114,17408
5057,18754
25853,28255
12650,13836
8236,24131
24196,24609
16362,24180
23664,24748
5093,28210
17691,25516
13672,15961
30263,30269
4806,5522
1786,14919
13143,26951
1935,24841
15815,16090
17936,25320
4298,4557
17752,22759
3679,26951
187,8245
18438,24218
10410,16376
187,1829
19778,21549
402,3703
10339,24080
1160,8980
2966,22548
13179,25827
8974,24218
25223,28209
7,141
5222,10311
4826,10311
5572,17483
30217,30274
17301,21547
710,823
2335,18517
30469,30495
15520,27448
2450,16023
15309,24216
1552,2041
10359,16037
17640,17980
967,28183
11299,26458
28255,28621
4044,6488
55,16023
8869,19856
16804,27507
2362,17307
15309,21183
13191,22804
4069,8238
2326,4818
7587,8917
16919,18597
1829,20227
4407,8233
14828,17877
21677,30743
4869,18652
15791,24340
3875,4208
4302,26152
5081,25890
18785,29937
3958,9346
3552,8658
8438,20050
17412,18880
24155,24180
4179,14418
4433,22636
2003,28866
16069,16333
17939,21780
3465,25628
17211,18597
6794,23402
6256,9763
2557,4542
17561,25769
15042,16466
18705,19778
6224,21559
3958,9696
3825,22938
11084,25314
6907,8003
15843,17683
2943,3073
1370,1754
1919,2750
16489,28411
801,22013
4414,7468
14967,17231
827,26617
6923,21718
18232,24634
5748,9148
5431,13413
1508,10736
17906,24649
3913,6139
290,748
8262,17326
478,23430
24730,26316
1508,7703
3816,28837
19284,26601
1785,10455
4826,24566
25901,26312
4458,6612
1785,26670
3895,7438
3551,7628
20050,28763
3956,21677
17660,21560
17405,20287
4826,21533
10268,17342
4017,18920
15097,21784
710,5629
4663,23232
1828,8997
17954,24666
4808,6617
2362,25146
24681,25269
5849,24260
16496,18197
26449,30439
14811,28745
3902,4071
710,9012
15949,17304
10539,25914
21569,22245
21564,21901
2362,28529
21650,21675
16015,21307
16144,16991
15638,18351
15242,18351
13836,29068
5270,7587
10315,29589
13053,14844
26158,26476
6110,21564
4302,14743
3552,10081
16015,18274
11407,25320
102,646
4834,30819
22050,28183
10319,24046
3962,11642
15223,16796
2343,3562
16015,28073
4830,20497
5086,24624
3861,27051
10739,15576
16165,18218
257,934
26436,29049
2439,4024
22811,23585
57,122
7131,9134
4662,9020
3333,17483
2107,4224
3820,11185
10578,17517
16376,19569
23313,28118
10393,28317
5163,17115
10393,21901
3759,6745
18925,20386
10075,10480
709,30263
17335,17962
5656,14015
3975,5057
4410,4985
141,5081
23022,24155
3917,5052
4939,7958
17628,18214
