node_id,cluster_label,longitude,latitude
0,1115,-104.99251,39.74765
1,9,-122.34391,37.579964
2,1115,-104.99251,39.74765
3,225,-77.451706,38.94511
4,9,-122.36884,37.824562
5,9,-122.43055,37.79769
6,13571,-87.749626,42.057777
7,9,-122.38332,37.591125
8,1284,-105.00052,39.74832
9,9,-122.34475,37.579002
10,78,6.12731,49.613148
11,9,-122.34368,37.580303
12,843,-105.13143,40.407734
13,964,-104.99252,39.753376
14,225,-104.9847,39.739155
15,1115,-105.28206,40.025406
16,629,-122.68637,37.90937
17,1115,-105.28025,40.013428
18,1115,-74.008736,40.72337
19,888,-76.329994,40.075474
20,1115,-105.81253,39.936497
21,1115,-105.08665,39.92054
22,1304,-117.25048,32.76423
23,9,-97.74026,30.267445
24,1115,-105.08828,40.17309
25,1284,-107.81623,38.1392
26,9,-122.27698,37.56215
27,1115,-105.25181,40.026157
28,53,6.095556,49.603333
29,52,-104.9847,39.739155
30,1115,-105.6975,39.706097
31,843,-73.991974,40.72915
32,1284,-118.49814,34.029633
33,113,-104.915474,38.85747
34,1115,-105.06551,39.794327
35,225,-104.90243,39.758064
36,21642,-78.018906,34.745163
37,1115,-121.88571,37.32963
38,92,24.70936,60.16271
39,896,-122.39249,37.78278
40,15856,-122.34368,37.580303
41,896,-104.95975,39.745983
42,9,-122.34368,37.580303
43,896,-104.67518,39.84716
44,4077,-97.82584,30.285938
45,822,-116.357,33.70969
46,9,-122.34693,37.578644
47,964,-73.98001,40.763054
48,4374,6.13,49.611668
49,1115,-105.27512,40.018696
50,1115,-105.13212,39.978184
51,896,-104.99907,39.75047
52,52,-104.95986,39.732235
53,28,6.385481,49.600132
54,9,-117.42662,47.6743
55,63,-105.08033,39.838474
56,9,-122.353195,47.615242
57,1115,-106.92679,37.853424
58,1115,-105.29687,40.014
59,4662,7.75,49.45
60,4374,6.172921,49.63357
61,896,-93.2779,44.954918
62,1115,-105.25585,40.035564
63,55,-93.24215,44.854515
64,843,-104.709335,39.83805
65,1115,-105.135284,39.93053
66,896,-104.994354,39.75633
67,1115,-104.957504,39.718018
68,1115,-105.27721,40.018055
69,6040,-122.4278,37.759453
70,1115,-122.00585,37.33169
71,1115,-105.00739,39.748947
72,1115,-104.989265,39.745132
73,9,-122.36608,37.584103
74,1115,-105.27747,40.018776
75,4351,-104.985466,39.75941
76,48,4.354558,50.8471
77,4863,-86.793564,36.115227
78,113,6.095556,49.603333
79,1115,-105.25614,40.016884
80,1115,-104.95906,39.70422
81,1115,-104.675224,39.84719
82,1115,-71.46633,41.641624
83,1115,-104.83192,39.72943
84,896,-105.00083,39.754562
85,896,-104.98012,39.743275
86,896,-77.447716,38.95338
87,843,-86.98063,20.470104
88,2804,145.07484,-37.78609
89,16,-122.406685,37.76736
90,9,-122.36608,37.584103
91,896,-83.28131,40.82728
92,38,24.940983,60.16814
93,1115,-104.99903,39.712494
94,29519,4.9221,52.37674
95,6257,-104.90289,39.60239
96,38,24.947582,60.1672
97,896,-104.953186,39.718018
98,5104,-122.41942,37.77493
99,113,6.100258,49.752876
100,1115,-105.27609,40.00888
101,12887,-155.96344,19.559608
102,1115,-122.5922,48.847042
103,1115,-105.106346,40.134277
104,896,-105.08749,39.802765
105,896,-104.985466,39.75941
106,1115,-105.270546,40.014984
107,2607,-73.97957,40.76192
108,1074,-104.67318,39.861656
109,11038,-122.200676,47.61038
110,1115,-104.98681,39.736996
111,1115,-105.24674,39.988792
112,1115,-97.33755,37.692238
113,33,6.106111,49.74889
114,1115,-104.99373,39.74359
115,3635,-122.39208,37.61471
116,6164,-76.94977,38.987717
117,964,-105.06415,39.75304
118,1284,-104.9847,39.739155
119,896,-112.074036,33.448376
120,896,-104.99848,39.75379
121,1810,10.211667,59.7425
122,9,-122.25507,37.502815
123,9,-122.421684,37.778015
124,9,-122.3902,37.779613
125,9,-121.98961,38.311005
126,9,-121.94772,37.320038
127,9,-122.27772,37.547024
128,9,-122.84777,38.590187
