node_id,cluster_label,longitude,latitude
0,1989,-97.79514,30.235909
1,682,2.3333287,48.86338
2,3823,-118.26716,34.043022
3,3,-122.40761,37.782604
4,416,-73.98687,40.761177
5,1989,-97.7494,30.269102
6,3823,-122.42353,37.779415
7,494,-94.76637,38.911922
8,494,-94.754524,38.896427
9,3570,-80.20965,26.284668
10,43966,-49.2671,-25.43723
11,3823,-123.12839,49.278137
12,416,-71.08741,42.347015
13,416,-73.98517,40.758804
14,3823,-104.98869,39.736942
15,60,-89.94492,35.118378
16,3823,-117.18913,33.137627
17,1989,-97.73959,30.322706
18,116,-96.63409,32.800278
19,3823,-117.922676,33.809734
20,416,-73.98239,40.755875
21,416,-76.01725,42.032112
22,3823,-121.99594,37.33168
23,3823,-122.386696,37.748604
24,4354,-122.02599,36.97402
25,25,-97.74521,30.28112
26,406,-94.6432,38.884747
27,1989,-97.877495,30.20174
28,1989,-97.799446,30.47222
29,1989,-97.7494,30.269102
30,1989,-97.79488,30.237083
31,416,-73.977196,40.754467
32,4571,-96.82307,33.079536
33,416,-73.96683,40.78054
34,416,-86.15552,39.763916
35,3823,-122.38615,37.616356
36,3823,-121.711296,45.330986
37,1989,-97.74244,30.304838
38,3823,-122.252,37.826576
39,3823,-118.435936,34.048573
40,1989,-97.70208,30.423712
41,416,-82.55356,35.59724
42,416,-84.331764,33.759644
43,494,-94.60817,38.969017
44,416,-87.6771,41.911823
45,494,-93.16946,44.986435
46,1989,-97.66713,30.201557
47,3823,-122.4837,37.700718
48,1989,-97.718956,30.338121
49,49,-105.280785,40.016804
50,3823,-122.67336,45.52268
51,1067,-123.29237,49.37318
52,4354,-122.11509,37.453644
53,387,-79.053055,35.98094
54,1688,-97.521416,35.47926
55,416,-81.35713,41.142986
56,3823,-122.432556,37.785084
57,3823,-115.14908,36.0849
58,406,-94.90692,39.285393
59,3605,-95.25059,38.95807
60,1989,-97.74931,30.26791
61,5856,8.40034,48.99412
62,416,-86.79523,33.463284
63,416,-81.49244,28.387228
64,3823,-122.15954,37.448135
65,3823,-115.14684,36.080944
66,3966,-0.11875637,51.503223
67,3823,-122.14588,37.42523
68,1989,-97.864914,30.232866
69,494,-94.60884,38.990273
70,3823,-122.080864,37.394577
71,1989,-97.8069,30.257622
72,3823,-122.43114,37.463123
73,1989,-97.77164,30.235518
74,494,-97.749596,30.317026
75,3823,-122.715546,42.198376
76,3823,-122.38917,37.79078
77,77,18.480019,-34.102394
78,3823,-122.20155,37.432007
79,3823,-121.81538,36.859947
80,3823,-122.3245,37.563583
81,3823,-122.361885,38.402435
82,1989,-97.74931,30.26791
83,116,-96.76299,32.95459
84,1989,-97.42897,37.652874
85,1989,-97.77117,30.266346
86,4354,-122.05478,38.26071
87,3823,-122.43071,37.761322
88,1989,-97.037994,32.966373
89,49,-105.05277,39.9123
90,3823,-122.08805,37.422356
91,1989,-97.16006,32.98155
92,1989,-97.83701,30.229637
93,3966,-0.091667175,51.52044
94,6692,-0.20080008,51.544228
95,3823,-122.393684,37.795685
96,1989,-97.66713,30.201557
97,97,7.7484736,48.581238
98,3823,-122.20155,37.432007
99,4354,-122.172775,37.426617
100,494,-94.59144,39.052925
101,4354,-122.161026,37.44484
102,1989,-97.746185,30.265036
103,494,-94.68613,38.95576
104,3823,-122.26453,37.809822
105,1989,-97.7528,30.389168
106,1989,-97.740166,30.265415
107,3823,-122.626945,47.56335
108,416,-76.67097,39.179844
109,1989,-97.807304,30.258003
110,3570,-80.13868,26.191471
111,7140,3.0352235,50.623375
112,1989,-97.78427,30.295244
113,1989,-96.795135,32.79615
114,3823,-122.13187,37.457455
115,3823,-122.025536,37.417892
116,116,-96.78612,32.844288
117,1989,-80.23886,25.95793
118,3823,-118.407166,33.94354
119,7266,-120.24832,39.191788
120,1989,-122.32409,37.566074
121,3823,-122.00613,37.32844
122,1989,-97.76884,30.188686
123,3823,-122.39459,37.784
